id,brand,name,scale,serial_number,category_family,category_subject,scalemates_url
101,Nichimo,U-Boat type IX B Wolf Pack,1/200,U-2009,naval,submarine,https://www.scalemates.com/kits/nichimo-2009-u-boat-type-ix-b--964265
108,Nichimo,Yamato,1/500,U-5001,naval,warship,https://www.scalemates.com/de/kits/nichimo-050522-ijn-battleship-yamato--1135986
327,Nichimo / Minicraft,IJN Submarine First Class Type Otsu I-19,1/200,U-2006,naval,submarine,https://www.scalemates.com/kits/nichimo-u-2006-i-19-submarine-and-floatplane--146099
113,Nitto,Chieftain,,543,military_ground,afv,https://www.scalemates.com/kits/nitto-543-chieftain--1272970
331,Nitto,German Battleship Bismarck,No scale(1/1000?),165.0,naval,battleship,https://www.scalemates.com/kits/nitto-165-bismarck--1400215
328,Nitto,German Medium Tank Panzer.IV Ausf.J,1/76,460,military_ground,afv,https://www.scalemates.com/kits/nitto-460-panzeriv-ausfj--139662
112,Nitto,Jagdpanther German Medium Tank,1/76,443,military_ground,afv,https://www.scalemates.com/kits/nitto-443-jagdpanther--139645
332,Nitto,Japanese Navy Battleship Yamato / Musashi,No scale(1/1100?),163 / 164,naval,battleship,https://www.scalemates.com/kits/nitto-163-battle-ship-yamato--1399560
329,Nitto,M3A1 Half Track,1/76,456,military_ground,afv,https://www.scalemates.com/kits/nitto-456-m3a1-halftrack--139658
330,Nitto,Panther-G German Medium Tank,1/76,393 / 441 / 523,military_ground,afv,https://www.scalemates.com/kits/nitto-441-panther-g--139643
111,Nitto,SDKfz 251/1 Rocket launcher,1/35,388,space,rocket,https://www.scalemates.com/kits/nitto-388-sdkfz-251-1--186379
114,Nitto,Tiger II,,,military_ground,afv,https://www.scalemates.com/de/kits/nitto-182-tiger-ii--1272825
110,Nitto,Yamato,1/1100,163,naval,warship,https://www.scalemates.com/kits/nitto-163-battle-ship-yamato--1399560
333,Nitto / RiKo,M4A1 Sherman (with Willys Jeep),1/76,453,military_ground,afv,https://www.scalemates.com/kits/nitto-453-m4a1-sherman--139655
334,Nitto / RiKo,U.S. Army Tank Destroyer M36 Jackson Tank with Harley Davidson motorcycle,1/76,455,naval,destroyer,https://www.scalemates.com/de/kits/nitto-455-m36-jackson--139657
335,Nitto / RiKo / Entex,Jagdpanther German Medium Tank,1/76,395 / 443 / 8506C / 252,military_ground,afv,https://www.scalemates.com/kits/nitto-443-jagdpanther--139645
336,Nitto Kagaku,KettenKrad Sd.Kfz. 2 with 37mm Gun,1/35,411,military_ground,afv,https://www.scalemates.com/kits/nitto-kagaku-411-kettenkrad-sdkfz-2--186383
338,Otaki,Japanese Battleship Yamato,1/600,OT1-28-500,naval,battleship,https://www.scalemates.com/kits/otaki-ot1-28-500-japanese-battleship-yamato--1325761
337,Otaki,P-51D Mustang,1/48,OT2-13,aircraft,military_aircraft,https://www.scalemates.com/kits/otaki-ot2-13-north-american-p-51d-mustang--313697
115,Peerless Max,155 mm Howitzer,1/35,3502,military_ground,artillery,https://www.scalemates.com/kits/airfix-07362-6-155-mm-howitzer--169670
116,Plastruct,Plastruct Lamp shade 671a5f,,,industrial,component,
407,Revell,"""Battle of Midway"" Carrier",1/542,H-501,naval,carrier,https://www.scalemates.com/kits/revell-h-501-battle-midway-carrier--1005890
341,Revell,53 Chevy Panel,1/25,H-1376,automotive,car,https://www.scalemates.com/kits/revell-h-1376-53-chevy-panel--946079
446,Revell,Apollo Lunar Spacecraft,1/48,H-1838,space,spacecraft,https://www.scalemates.com/kits/revell-h-1838-600-apollo-lunar-spacecraft--965026
345,Revell,Battleship U.S.S. Wisconsin,1/535,H352,naval,battleship,https://www.scalemates.com/kits/revell-h352-uss-wisconsin-bb-64--1092841
444,Revell,Bell HueyCobra Helicopter,1/32,H-287,aircraft,helicopter,https://www.scalemates.com/kits/revell-h-287-200-bell-hueycobra-helicopter--176356
445,Revell,Bell UH-1D Huey Helicopter,1/32,H-286 / H-259,aircraft,helicopter,https://www.scalemates.com/kits/revell-h-286-bell-uh-1d-huey-helicopter--192343
342,Revell,Custom '57 Chevy Hardtop,1/25,H1277 / H-1371 /     H-1284,automotive,car,https://www.scalemates.com/kits/revell-h-1277-57-chevy--1510745
118,Revell,Douglas DC-7,1/22,H-168,aircraft,civil_aircraft,https://www.scalemates.com/de/kits/revell-h-168-douglas-dc-7--939794
408,Revell,German Battleship Bismarck / Tirpitz,1/570,H-350 / H351,naval,battleship,https://www.scalemates.com/kits/revell-h350-200-bismarck--988629
347,Revell,German V-2 Rocket,1/69,H-1830 / H-560,space,rocket,https://www.scalemates.com/kits/revell-h-1830-german-v-2-rocket--208764
346,Revell,H.M.S. King George V / Prince of Wales / Duke of York,1/568,H-380 / H-388 / H-404,naval,warship,https://www.scalemates.com/kits/revell-h-380-hms-king-george-v--194326
441,Revell,Honda Super Hawk,2024-08-01 00:00:00,H-1233,automotive,motorcycle,https://www.scalemates.com/kits/revell-h-1233-honda-super-hawk--1273141
442,Revell,"Jeb Allen's ""Praying Mantis"" / Kuhl & Olson Da Revell Fast Guys / 1974 Rear Engine Dragster Don the Snake Prudhomme",1/16,H-1484 / H-1488,industrial,component,https://www.scalemates.com/kits/revell-h-1484-jeb-allens-praying-mantis--1413364
340,Revell,Jet-Powered Patrol Gunboat / U.S.S. Defiance,1/130,H432 / H435,naval,small_craft,https://www.scalemates.com/de/kits/revell-h435-uss-defiance--1249989
348,Revell,Junkers Ju 88,1/72,H-113 / H165,aircraft,military_aircraft,https://www.scalemates.com/kits/revell-h-113-junkers-ju-88--147450
120,Revell,Junkers Ju 88 Germany's Versatile World War II Aircraft,1/72,H-113,aircraft,military_aircraft,https://www.scalemates.com/kits/revell-h-113-junkers-ju-88--147450
121,Revell,Kugisho P1Y1/2 Ginga,1/72,H-103,aircraft,military_aircraft,https://www.scalemates.com/de/kits/revell-h-103-kugisho-p1y1-2-ginga--1015851
447,Revell,Mercury and Gemini,1/48,H-1834,space,spacecraft,https://www.scalemates.com/kits/revell-h-1834-100-mercury-gemini--194192
343,Revell,Mig 21 PF/PFM,1/32,H-267,aircraft,military_aircraft,https://www.scalemates.com/kits/revell-h-267-mig-21-pf-pfm--227586
406,Revell,NASA/McDonnell Gemini,1/24,H-1835,space,spacecraft,https://www.scalemates.com/kits/revell-h-1835-nasa-mcdonnell-gemini--144851
119,Revell,Phantom F-4J,1/32,H-188,aircraft,military_aircraft,https://www.scalemates.com/kits/revell-h-188-phantom-f-4j--193693
344,Revell,Phantom F-4J / McDonnell Douglas F-4E U.S.A.F. Phantom II,1/32,H-188 / H-198,aircraft,military_aircraft,https://www.scalemates.com/kits/revell-h-188-phantom-f-4j--193693
339,Revell,Roger DeCoster's Suzuki Motocrosser,2025-12-01 00:00:00,H-1509,automotive,motorcycle,https://www.scalemates.com/kits/revell-h-1517-suzuki-motocrosser--699080
443,Revell,Russia's First Spacecraft: VOSTOK,1/24,H-1844,space,spacecraft,https://www.scalemates.com/kits/revell-h-1844-vostok--1189708
117,Revell,U.S.S. Defiance,1/130,H435,naval,warship,https://www.scalemates.com/de/kits/revell-h435-uss-defiance--1249989
349,Revell,U.S.S. Franklin D. Roosevelt / Midway / Coral Sea,1/547,H-307 / H-373 / H-321 / H-374 / H-440 / H-441,naval,warship,https://www.scalemates.com/kits/revell-h-307-249-uss-franklin-d-roosevelt-cv-42--167969
350,Revell-Italaerei,Rocket launcher Katyusha,1/35,H-2115,space,rocket,https://www.scalemates.com/kits/revell-italaerei-h-2115-rocket-launcher--186099
122,Smartlouvre,Koolshade,,,industrial,component,
127,Tamiya,"""Elf"" Tyrrell Ford F-1 (003) 1971",2022-12-01 00:00:00,12009,automotive,race_car,https://www.scalemates.com/kits/tamiya-12009-tyrrell-ford-f-1--122723
414,Tamiya,20mm Flak 38 MIT Sd.AH.51,1/35,MM202,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm202-20mm-flak38--130994
138,Tamiya,"7,5cm ANTI–TANK GUN (PAK40/L46)",1/35,35047,military_ground,afv,https://www.scalemates.com/kits/tamiya-35047-7-5cm-anti-tank-gun-pak40-l46--1182655
431,Tamiya,Aircraft Carrier Junyo,1/700,WL.A076,naval,carrier,https://www.scalemates.com/kits/tamiya-wla076-aircraft-carrier-junyo--1023391
368,Tamiya,Avro Lancaster BI/BIII,1/48,61020,aircraft,military_aircraft,https://www.scalemates.com/de/kits/tamiya-61020-avro-lancaster-bi-biii--122284
162,Tamiya,Avro Lancaster BI/BIII RiKo,1/48,61020,aircraft,military_aircraft,https://www.scalemates.com/de/kits/riko-61020-avro-lancaster-bi-biii--1240312
415,Tamiya,Barricade Set,1/35,MM127,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm127-barricade-set--192984
166,Tamiya,Battleship Yamato Water Line Series,1/700,WL.B009,naval,battleship,https://www.scalemates.com/de/kits/tamiya-wlb009-battleship-yamato--1409041
130,Tamiya,Boeing B-52D Stratofortress,1/100,PA-1025,aircraft,military_aircraft,https://www.scalemates.com/de/kits/tamiya-pa-1025-boeing-b-52d-stratofortress--134117
409,Tamiya,Brabham BT44B Martini (Ford Engine),2025-12-01 00:00:00,BS1218,automotive,race_car,https://www.scalemates.com/kits/tamiya-12018-brabham-martini-bt44b--122733
147,Tamiya,British 25Pdr. Field Gun w/6 crew,1/35,35046,military_ground,afv,https://www.scalemates.com/kits/tamiya-35046-25pdr-field-gun--1302921
133,Tamiya,British Army Centurion Mk III,1/25,30614,military_ground,afv,https://www.scalemates.com/kits/tamiya-30614-centurion-mk-iii--1112794
152,Tamiya,British Army Chieftain Mk.5,1/35,35068,military_ground,afv,https://www.scalemates.com/kits/tamiya-35068-chieftain-mk5--1166607
156,Tamiya,British Army Saladin Mk II Armoured Car,1/35,MT108,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt108-saladin-mk-ii--208604
432,Tamiya,British Battlecruiser Hood,1/700,WL.B127,naval,warship,https://www.scalemates.com/kits/tamiya-wlb127-hood--141059
370,Tamiya,British Battleship Prince of Wales / King George V,1/700,WL.B122 / WL.B125,naval,battleship,https://www.scalemates.com/kits/tamiya-wlb122-british-battleship-prince-wales--157203
371,Tamiya,British Battleship Rodney / Nelson,1/700,WL.B102 / WL.B104,naval,battleship,https://www.scalemates.com/kits/tamiya-wlb102-hms-rodney--171071
149,Tamiya,British Infantry Tank Mk.II Matilda,1/35,MM124,military_ground,afv,https://www.scalemates.com/de/kits/tamiya-mt135-tank-destroyer-m36-jackson--184846
416,Tamiya,British L.R.D.G. Command Car  30CWT Truck,1/35,MM192,commercial_vehicle,truck,https://www.scalemates.com/kits/tamiya-mm192-lrdg-command-car--122861
140,Tamiya,Carro Armato M13/40,1/35,35296,military_ground,afv,https://www.scalemates.com/kits/tamiya-35296-carro-armato-m13-40--102648
360,Tamiya,Centurion Mk. III - British Army 1/35,1/35,MT130 / MT230,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt130-centurion-mkiii--133511
123,Tamiya,Daytona Honda CB750 Racing Type 1970,2022-06-01 00:00:00,16003,automotive,motorcycle,https://www.scalemates.com/kits/tamiya-16003-honda-cb750-racing-type--122906
126,Tamiya,Ferrari 312 B 1970,2022-12-01 00:00:00,12007,automotive,race_car,https://www.scalemates.com/kits/tamiya-12007-ferrari-312-b--122722
351,Tamiya,Ferrari 312B,2022-12-01 00:00:00,BS1207,automotive,race_car,https://www.scalemates.com/kits/tamiya-12007-ferrari-312-b--122722
410,Tamiya,Ferrari 312T,2025-12-01 00:00:00,BS1219,automotive,race_car,https://www.scalemates.com/kits/tamiya-12019-ferrari-312t--122734
417,Tamiya,Ford G.P.A. Jeep - U.S. Amphibian 1/4 ton 4X4 Truck,1/35,MM143,commercial_vehicle,truck,https://www.scalemates.com/kits/tamiya-mm143-ford-gpa-jeep--122812
418,Tamiya,German 8 ton Semi Track Sd.Kfz7 / Track & 20mm Flakvierling 38 Sd.kfz 7/1,1/35,MT133 / MM150,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt133-900-8ton-semi-track-sdkfz7--192990
159,Tamiya,German 88mm Gun Flak 36/37,1/35,MM117,military_ground,afv,https://www.scalemates.com/de/kits/tamiya-mm117-88mm-gun-flak-36-37--192993
372,Tamiya,German Battlecruiser Scharnhorst / Gneisenau,1/700,WL.B118 / WL.B120,naval,warship,https://www.scalemates.com/kits/tamiya-wlb118-scharnhorst--138769
146,Tamiya,German Hanomag Sd.Kfz. 251/1,1/35,35020,military_ground,afv,https://www.scalemates.com/kits/tamiya-35020-hanomag-sdkfz-251-1-ausf-c-rivetted-version--183837
158,Tamiya,"German Heavy Tank King Tiger Panzer KampfWagen VI Tiger II ""Konigs Tiger""",1/35,MM157,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm-157a-king-tiger--1454858
352,Tamiya,Honda F-1,2022-12-01 00:00:00,BS1201 / BS1211,automotive,race_car,https://www.scalemates.com/kits/tamiya-12011-honda-f-1--122724
128,Tamiya,Honda F-1 (RA 273) 1967,2022-12-01 00:00:00,12011,automotive,race_car,https://www.scalemates.com/kits/tamiya-12011-honda-f-1--122724
419,Tamiya,"Horch, s.GL Einheits Personen Kraftwagen, 4x4 Type 1a",1/35,MM105 / MM152,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm152-horch-4x4-type-1a--132504
353,Tamiya,J.P.S. Lotus 72D (Ford) 1972,2022-12-01 00:00:00,BS1213,automotive,race_car,https://www.scalemates.com/kits/tamiya-12013-john-player-special-jps-lotus-72d--122727
420,Tamiya,Jagdpanzer IV L/70 Lang,1/35,MM188,military_ground,afv,https://www.scalemates.com/kits/tamiya-35088-jagdpanzer-iv-l-70-lang--103876
134,Tamiya,Jagdpanzer V Jagdpanther 2 Motor,1/25,DTW113,military_ground,afv,https://www.scalemates.com/kits/tamiya-dtw113-jagdpanther--688527
165,Tamiya,Japan Light Cruiser Kumano Water Line Series,1/700,77019,naval,warship,https://www.scalemates.com/kits/tamiya-77019-kumano--1408826
373,Tamiya,Japanese Aircraft Carrier Shinano,1/700,WL.A024,naval,carrier,https://www.scalemates.com/kits/tamiya-wla024-shinano--991693
164,Tamiya,Japanese Aircraft Carrier Shinano Water Line Series,1/700,WL.A024,naval,carrier,https://www.scalemates.com/kits/tamiya-wla024-shinano--991693
374,Tamiya,Japanese Aircraft Carrier Taiho,1/700,WL.A050,naval,carrier,https://www.scalemates.com/de/kits/tamiya-wla050-taiho--993109
375,Tamiya,Japanese Battle ship Yamato / Musashi,1/700,WL.B009 / WL.B013,naval,battleship,https://www.scalemates.com/de/kits/tamiya-wlb009-battleship-yamato--1409041
376,Tamiya,Japanese Light Cruiser Suzuya / Mogami / Kumano,1/700,WL.C003 / WL.C007 / WL.C019,naval,warship,https://www.scalemates.com/kits/tamiya-wlc003-suzuya--193000
124,Tamiya,John Player Special J.P.S. Lotus 72D (Ford) 1972,2022-12-01 00:00:00,12013,automotive,race_car,https://www.scalemates.com/kits/tamiya-12013-john-player-special-jps-lotus-72d--122727
148,Tamiya,Kampfpanzer LEOPARD WEST GERMAN ARMY MEDIUM TANK,1/35,35064,military_ground,afv,https://www.scalemates.com/kits/tamiya-35064-leopard--1166605
361,Tamiya,Kfz. 1/20K2s Schwimmwagen,1/35,MM103,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm103-kfz-1-20k2s-schwimmwagen--132343
362,Tamiya,Leopard West German Army Medium Tank,1/35,MT125 / MT225 / MM164,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt125-kampfpanzer-leopard--1112098
129,Tamiya,Lotus 49 Ford F-11967,2022-12-01 00:00:00,12012.0,automotive,race_car,https://www.scalemates.com/kits/tamiya-12012-lotus-49-ford-f-1--122726
354,Tamiya,Lotus 49B Ford F-1,2022-12-01 00:00:00,BS1204,automotive,race_car,https://www.https://www.scalemates.com/kits/tamiya-12004-lotus-49b-ford-f-1--122718
369,Tamiya,M.B.T.71,1/48,MS108,aircraft,military_aircraft,https://www.scalemates.com/de/kits/tamiya-ms108-mbt71--1113003
137,Tamiya,M3 Lee,1/35,MM139A,military_ground,afv,https://www.scalemates.com/de/kits/tamiya-mm139a-us-medium-tank-m3-lee-mk-i--1468159
421,Tamiya,M3A2 Half Track / M16 Multiple Gun Motor Carriage / M21 Half Track 81mm Mortar Carrier,1/35,MM170 / MM181 / MM183,military_ground,afv,https://www.scalemates.com/kits/tamiya-35070-m3a2-half-track--130064
358,Tamiya,M4 Sherman 105mm Howitzer,1/16,RT1601,military_ground,artillery,https://www.scalemates.com/kits/tamiya-rt1601-m4-sherman-105mm-howitzer--203645
153,Tamiya,M4 Sherman US Army Medium Tank M4A3E8,1/35,MT118,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt118a-m4a3e8--1140321
151,Tamiya,M41 U.S. Tank M41 Walker Bulldog,1/35,35055,military_ground,afv,https://www.scalemates.com/kits/tamiya-35055-m41-walker-bulldog--1231793
167,Tamiya,M60A1,1/35,MT228,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt228-m60a1-medium-tank--1112326
363,Tamiya,M60A1 / M60A2,1/35,MT128 / MT228 / MT138 / MT238,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt128-m60a1--660860
160,Tamiya,M8 Greyhound,1/35,MT116,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt116-m8-armored-car--1111172
355,Tamiya,Matra MS11,2022-12-01 00:00:00,BS1205,automotive,race_car,https://www.scalemates.com/kits/tamiya-12005-matra-ms11--122719
131,Tamiya,McLaren M8A,1/18,1810,automotive,race_car,https://www.scalemates.com/kits/tamiya-1810-mclaren-m8a--122753
359,Tamiya,Panther A / Jagdpanther,1/25,DT112 / DWT112 / DT113 / DTW113,military_ground,afv,https://www.scalemates.com/kits/tamiya-dt112-panzer-kampfwagen-v-panther-a--436920
142,Tamiya,Panzerkampfwagen II Ausf. F/G,1/35,35009,military_ground,afv,https://www.scalemates.com/kits/tamiya-35009-panzerkampfwagen-ii-ausf-f-g--1166601
143,Tamiya,Panzerkampfwagen III Ausf. M/N,1/35,MM111,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm111-panzerkampfwagen-iii-ausf-m-n--132350
145,Tamiya,Panzerkampfwagen V Panther (Sd.kfz. 171) Ausf. A,1/35,35065,military_ground,afv,https://www.scalemates.com/kits/tamiya-35065-panther--1166606
141,Tamiya,Panzerkampfwagen VI Tiger I Ausf.E,1/35,MM156A,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm156a-tiger-i--283954
157,Tamiya,Pkw. K1 (type 82) Kübelwagen German Volkswagen Jeep,1/35,MM106,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm106-300-pkwk1-type82-kuebelwagen--166457
132,Tamiya,Porsche 910,1/18,10001,automotive,race_car,https://www.scalemates.com/kits/tamiya-10001-porsche-910--970075
135,Tamiya,Royal Army Chieftain Battle Tank,1/25,DTW108,military_ground,afv,https://www.scalemates.com/kits/tamiya-dtw108-chieftain-battle-tank--1112662
422,Tamiya,Russian Heavy Tank KV I Type C,1/35,MT134,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt134-kv-1--193009
423,Tamiya,Russian Heavy Tank KV-II GIGANT,1/35,MM163,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm163-kv-ii-gigant--103889
412,Tamiya,Russian Medium Tank T-34 Type 85,1/25,DT109 / DTW109,military_ground,afv,https://www.scalemates.com/kits/tamiya-dt109-1500-t-34-type-85--1048667
430,Tamiya,Russian Medium Tank T34/76,1/48,MS101,military_ground,afv,https://www.scalemates.com/kits/tamiya-ms101-275-t34-76--939241
413,Tamiya,Russian Tank Destroyer SU-100,1/25,DT110 / DTW110,naval,destroyer,https://www.scalemates.com/kits/tamiya-dt110-su-100--1112681
424,Tamiya,Russian Tank Destroyer SU-122 (some dups w/ SU-85),1/35,MM193,naval,destroyer,https://www.scalemates.com/kits/tamiya-mm193-su-122--184778
425,Tamiya,Russian Tank Destroyer SU-85 (some dups w/ SU-122 &T34-76),1/35,MM172,naval,destroyer,https://www.scalemates.com/kits/tamiya-mm72-tank-destroyer-su-85--132522
426,Tamiya,Russian Tank T-34/76,1/35,MM149 / MM159 / MT244 / MT144,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm149-t34-76--132373
364,Tamiya,Russian Tank T-55,1/35,MT239,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt239-900-t-55-russian-tank--998267
139,Tamiya,Schwerer Panzerspähwagen (8-Rad) Sd.Kfz. 232,1/35,MM136,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm136-schwerer-panzerspaehwagen--115145
427,Tamiya,Scout Car Daimler Mk.II,1/35,MM118,aircraft,military_aircraft,https://www.scalemates.com/kits/tamiya-mm118-scout-car-daimler-mkii--1577125
428,Tamiya,Sd.Kfz 222 Leichter Panzerspahwagen (dups some 223 parts),1/35,MM151,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm151-sdkfz-222-leichter-panzerspaehwagen--192978
429,Tamiya,Sd.Kfz 223 Leichter Panzerspähwagen (Fu) (dups 222 parts),1/35,MM162,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm162-sdkfz-223-leichter-panzerspaehwagen-fu--130063
136,Tamiya,Self-Propelled AA Gun M-42 Duster,1/35,30027,military_ground,afv,https://www.scalemates.com/kits/tamiya-30027-m42-duster--156070
155,Tamiya,Sturmgeschutz III Ausf.G,1/35,MM114,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm114-sturmgeschuetz-iii-ausfg--132352
356,Tamiya,Texco Marlboro McLaren M23,2022-12-01 00:00:00,BS1216,automotive,race_car,https://www.scalemates.com/kits/tamiya-12017-yardley-mclaren-m23--122859
357,Tamiya,Tyrrell Ford F-1,2022-12-01 00:00:00,BS1209,automotive,race_car,https://www.scalemates.com/kits/tamiya-12009-tyrrell-ford-f-1--122723
163,Tamiya,U.S. Aircraft Carrier Enterprise Waterline Series,1/700,WL.A114,naval,carrier,https://www.scalemates.com/kits/tamiya-wla114-enterprise--157191
377,Tamiya,U.S. Aircraft Carrier Hornet / Enterprise,1/700,WL.A110 / WL.A114,naval,carrier,https://www.scalemates.com/kits/tamiya-wla110-hornet-cv-8--153460
154,Tamiya,U.S. Armoured Command Post M577,1/35,35071,military_ground,afv,https://www.scalemates.com/kits/tamiya-35071-armoured-command-post-m577--132521
411,Tamiya,U.S. Heavy Field Piece M2 Gun,1/21,DT103,military_ground,artillery,https://www.scalemates.com/kits/tamiya-dt103-m2-gun--1112541
150,Tamiya,U.S. Tank Destroyer M36 Jackson,1/35,MT135,naval,destroyer,https://www.scalemates.com/kits/tamiya-mt135-us-tank-destroyer-m36-jackson--1110870
365,Tamiya,U.S.Armoured Command Post M577,1/35,MM171 / 35071,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm171-command-post-car-m577--209361
366,Tamiya,U.S.Tank Destroyer M36 Jackson,1/35,MT135,naval,destroyer,https://www.scalemates.com/kits/tamiya-mt135-tank-destroyer-m36-jackson--184846
144,Tamiya,U.S.Tank M551 Sheridan,1/35,MT231,military_ground,afv,https://www.scalemates.com/kits/tamiya-mt231-m551-sheridan--225568
161,Tamiya,US Army Medium Tank M60A1E1,1/48,MS106-275,military_ground,afv,https://www.scalemates.com/kits/tamiya-ms106-m60a1e1--939826
433,Tamiya,Vosper Fast Patrol Boat Perkasa,1/72,PT7201,aircraft,military_aircraft,https://www.scalemates.com/kits/tamiya-pt7201-vosper-fast-patrol-boat-perkasa--106084
125,Tamiya,Yardley McLaren M23 (Ford) 1974,2022-12-01 00:00:00,12017,automotive,race_car,https://www.scalemates.com/kits/tamiya-12017-yardley-mclaren-m23--122859
367,Tamiya,Zündapp KS750 & BMW R75,1/35,MM116,military_ground,afv,https://www.scalemates.com/kits/tamiya-mm116-bmw-r75--132354
448,Tamiya / Hawk,Great Britain 18ton Light Tank Crusader II,1/50,PM1002-100 / 642-50,military_ground,afv,https://www.scalemates.com/kits/tamiya-2-crusader-ii--1112882
378,Tamiya-MRC,M41 Walker Bulldog with 4 Army figures,1/35,MT307-598,military_ground,afv,https://www.scalemates.com/kits/tamiya-35055-m41-walker-bulldog--1231793
434,Tomy,Steyr RSO/01 - German Army Military Tractor,1/35,3508.0,military_ground,support_vehicle,https://www.scalemates.com/kits/tomy-3508-steyr-rso-01--167251
316,n.n.,that mysterious Tiger,No scale,,military_ground,afv,
